Child,Parent,Note
literary theme,,
science fictional theme,literary theme,
science fictional technology,science fictional theme,
artificial intelligence,science fictional technology,
AI safeguards,artificial intelligence,
android,artificial intelligence,
sex-droid,android,
archailect,artificial intelligence,
cyborg,artificial intelligence,
robot,artificial intelligence,
robot helper,robot,
mechanical man,robot,
replicant,artificial intelligence,
virtual person,artificial intelligence,simulated personality
virtual lover,virtual person,
ancient artificial custodian,virtual person,
digital clone,virtual person,
sentient machine,artificial intelligence,
sentient bomb,sentient machine,
sentient space probe,sentient machine,
sentient computer,sentient machine,
sentient nanomachines,sentient machine,
autonomous sentient coworker,sentient machine,
autonomous sentient tool,sentient machine,
autonomous system,artificial intelligence,
autonomous weapons system,autonomous system,
collective intelligence,artificial intelligence,
computer simulated war,artificial intelligence,delete
emergent intelligence,artificial intelligence,
biological technology,science fictional technology,
biological machinery,biological technology,
biological computer,biological technology,
bioengineered pathogen,biological technology,bioengineered human pathogen
biological spaceship,biological technology,
nanotechnology,science fictional technology,
self-replicating nano-machine,nanotechnology,
brain-computer interface,science fictional technology,
brain implant,brain-computer interface,
brain stimulating implant,brain implant,
cranial aggression implant,brain implant,
plug-in learning,brain-computer interface,
spacetime changing technology,science fictional technology,
time machine,spacetime changing technology,
space folding technology,spacetime changing technology,space folding travel technology
device bigger inside than outside,spacetime changing technology,
time freezing machine,spacetime changing technology,
history altering technology,spacetime changing technology,
gravitation technology,science fictional technology,
anti-gravity technology,gravitation technology,
artificial gravity technology,gravitation technology,
vehicle,science fictional technology,
self-driving car,vehicle,
flying car,vehicle,
flying boat,vehicle,
subterrene,vehicle,
submarine,vehicle,
airliner,vehicle,
airship,vehicle,
mobile life support box,vehicle,
time machine,vehicle,
mind-controlled vehicle,vehicle,
jet pack,vehicle,
spaceship,vehicle,
Bussard ramjet,spaceship,
modular spaceship,spaceship,
multi-generational spaceship,spaceship,
solar sail spaceship,spaceship,
invisible spaceship,spaceship,
unmanned spaceship,spaceship,
ion drive spaceship,spaceship,
intangible spaceship,spaceship,
flying saucer,spaceship,
sleeper spaceship,spaceship,
rocket ship,spaceship,
multistage rocket ship,rocket ship,
simulated reality,science fictional technology,
virtual reality choose your own adventure,simulated reality,
virtual reality room,simulated reality,
virtual reality sex,simulated reality,
virtual reality suit,simulated reality,
matter manipulation technology,science fictional technology,
matter duplicator,matter manipulation technology,
matter replicator,matter manipulation technology,
matter transmuter,matter manipulation technology,
food synthesizer,matter manipulation technology,
give-you-anything scanner,matter manipulation technology,
planetary engineering,planetary weather control system,
weapon,science fictional technology,
autonomous weapons system,weapon,
sentient bomb,weapon,
death ray,weapon,
kill button,weapon,
killer microdrone,weapon,
immobilization web,weapon,
paralysis field,weapon,
smart ammunition,weapon,
human implanted suicide weapon,weapon,
sonic gun,weapon,
surface-to-air missile,weapon,
sun gun,weapon,
handheld multifunction super gun,weapon,
invisibility technology,science fictional technology,
invisible spaceship,invisibility technology,
personal invisibility cloak,invisibility technology,
planetary invisibility cloak,invisibility technology,
handheld device,science fictional technology,
handheld lab,handheld device,
handheld multifunction super gun,handheld device,
sonic razor,handheld device,
super spy pen,handheld device,
handheld organ extractor,handheld device,
pain stick,handheld device,
metal detector,handheld device,
wearable device,science fictional technology,
everlasting fabric,wearable device,
wearable torture device,wearable device,
pain belt,wearable torture device,
pain buzzer,wearable torture device,
pain collar,wearable torture device,
intangibility device,wearable device,
jet pack,wearable device,
life force draining headband,wearable device,
life-support belt,wearable device,
suit,wearable torture device,
diving suit,suit,
spacesuit,suit,
powered exoskeleton,suit,
virtual reality suit,suit,
personal invisibility cloak,wearable device,
face patch,wearable device,
perfect prosthetics,wearable device,
secret toenail compartment,wearable device,
ankle bracelet,wearable device,
magnetic boots,wearable device,
super glasses,wearable device,
vision beyond the visible spectrum,super glasses,
sonar-based artificial vision,super glasses,
X-ray vision,super glasses,
booth-like device,science fictional technology,
baby incubator pod,booth-like device,
disintegration chamber,booth-like device,
teleportation device,booth-like device,
take-you-anywhere gateway,booth-like device,
sonic shower,booth-like device,
engineering,science fictional technology,
large-scale engineering project,engineering,
artificial island,large-scale engineering project,
asteroid deflector,large-scale engineering project,
artificial city,large-scale engineering project,
domed city,artificial city,
floating city,artificial city,
underwater city,artificial city,
arcology,artificial city,
mining a planet from orbit,large-scale engineering project,
space elevator,large-scale engineering project,
space library,large-scale engineering project,
space monument,large-scale engineering project,
space station,large-scale engineering project,
space telescope,large-scale engineering project,
sun gun,large-scale engineering project,
undersea tunnel,large-scale engineering project,
earthquake machine,large-scale engineering project,
planetary-scale engineering project,engineering,
artificial planet,planetary-scale engineering project,
asteroid mining,planetary-scale engineering project,
geoengineered planet,planetary-scale engineering project,
hollowed out asteroid habitat,planetary-scale engineering project,
magical amusement planet,planetary-scale engineering project,
military training moon,planetary-scale engineering project,
off-world prison colony,planetary-scale engineering project,
planetary invisibility cloak,planetary-scale engineering project,
planet killing weapon,planetary-scale engineering project,
planetary-scale machine,planetary-scale engineering project,
terraformed planet,planetary-scale engineering project,
world eating machine,planetary-scale engineering project,
planetary weather control system,planetary-scale engineering project,
astronomical-scale engineering project,engineering,
galactic communication network,astronomical-scale engineering project,
stellar rejuvenation,astronomical-scale engineering project,
Dyson sphere,astronomical-scale engineering project,
stasis technology,science fictional technology,
stasis box,stasis technology,
suspended animation,stasis technology,
cryogenic suspension technology,suspended animation,cryogenic technology
cryogenic suspension punishment,cryogenic suspension technology,
energy generation technology,science fictional technology,
perpetual energy machine,energy generation technology,
body alteration,science fictional technology,
artificial organ,body alteration,
artificial blood,artificial organ,
artificial gland,artificial organ,
artificial heart,artificial organ,
artificial human body,artificial organ,
artificial lungs,artificial organ,
implanted device,body alteration,
brain stimulating implant,implanted device,
cranial aggression implant,implanted device,
pain implant,implanted device,
human implanted suicide weapon,implanted device,
body part transplant,body alteration,
brain transplant,body part transplant,
eye transplant,body part transplant,
fetal transplant,body part transplant,
hand transplant,body part transplant,
head transplant,body part transplant,
body swap,body alteration,
disembodiment,body alteration,
disembodied brain,disembodiment,brain disembodiment technology
disembodied head,disembodiment,
remote controlled person,body alteration,
species transmutation,body alteration,
super growth serum,body alteration,
cloning,body alteration,human cloning
duplicate of a person,body alteration,
accelerated growth rate,body alteration,
rapid aging,body alteration,
devolution,body alteration,
life extension technology,body alteration,
anti-aging technology,life extension technology,
retarded aging technology,life extension technology,
revival long after death,life extension technology,
disease cure,body alteration,
cure for acromegaly,disease cure,
cure for Alzheimer's disease,disease cure,
cure for cancer,disease cure,
cure for polio,disease cure,
cure for the common cold,disease cure,
cure for tuberculosis,disease cure,
external immune system,body alteration,
super accelerated Darwinian evolution,body alteration,
genetic engineering,body alteration,
prosthetic,body alteration,
face patch,prosthetic,
perfect prosthetics,prosthetic,
appearance altering technology,body alteration,
mind alteration,science fictional technology,
memory implantation,mind alteration,
implanted memory punishment,memory implantation,
mind control technology,mind alteration,
mass mind control,mind control technology,
memory wipe,mind alteration,
mind wipe punishment,memory wipe,
group mind,mind alteration,
mind linking,group mind,mind linking technology
mind reading,mind alteration,mind reading technology
mind transfer,mind alteration,mind transfer technology
mind swap,mind alteration,
mind uploading,mind alteration,
mind-computer merging,mind alteration,
psionic power,mind alteration,
telepathic memory transfer,psionic power,
telepathy,psionic power,world with telepathy
telekinesis,psionic power,
precognition,psionic power,
miniaturization technology,matter manipulation technology,
musical machine interface,unclassified contraption,
radiation neutralizer,unclassified contraption,
self-replicating machine,science fictional technology,
universal translation device,handheld device,
voice duplicator,unclassified contraption,
food pill,body alteration,
super high-yield grain,unclassified contraption,
travel,science fictional theme,
time travel,travel,
time loop,time travel,
time portal,time travel,
time speed up,time travel,
reversed time,time travel,
localized time distortion,time travel,
space travel,travel,
inter-dimensional travel,space travel,
accessible extra dimension,inter-dimensional travel,
2D space,inter-dimensional travel,
non-Euclidean space,inter-dimensional travel,
interplanetary space travel,space travel,
interstellar space travel,space travel,
orbital spaceflight,space travel,
sub-orbital spaceflight,space travel,
wormhole,space travel,
teleportation device,space travel,
take-you-anywhere gateway,space travel,
space colonization,science fictional theme,
society living in space,space colonization,
colonization of the Moon,space colonization,
colonization of Mars,space colonization,
terraformed planet,space colonization,
habitat,science fictional theme,
artificial world,habitat,
artificial island,artificial world,
artificial planet,artificial world,
arcology,habitat,
desert planet,habitat,
habitable asteroid,habitat,
habitable moon,habitat,
habitable planet in a binary star system,habitat,
habitable planet in a trinary star system,habitat,
ice planet,habitat,
ocean planet,habitat,
parallel earth,habitat,
twin earth,habitat,
water planet to the core,habitat,
domed city,habitat,
floating city,habitat,
underwater city,habitat,
walking city,habitat,
space region,science fictional theme,
parallel universe,space region,
parallel antimatter universe,parallel universe,
collapsing bubble universe,space region,
edge of the universe,space region,
galactic barrier,space region,
multiverse,space region,
reverse universe,space region,
universe-in-a-box,space region,
fields and beams,science fictional technology,
force field,fields and beams,
paralysis field,fields and beams,
tractor beam,fields and beams,
science fictional being,science fictional theme,
science fictional stock character,science fictional being,
space character,science fictional stock character,
space Nazi,space character,
space Roman,space character,
space Greek,space character,
supersoldier,science fictional stock character,
drug enhanced supersoldier,supersoldier,
genetically enhanced soldier,supersoldier,
genetically enhanced person,stock character,
genetically engineered super person,genetically enhanced person,
genetically enhanced soldier,genetically enhanced person,
mad scientist,science fictional stock character,
locationally distinguished being,science fictional being,
extraterrestrial being,locationally distinguished being,
Martian,extraterrestrial being,
Moon people,extraterrestrial being,
Neptunian extraterrestrial,extraterrestrial being,
Venusian,extraterrestrial being,
Jovian extraterrestrial,extraterrestrial being,
human-alien hybrid,extraterrestrial being,
black hole being,extraterrestrial being,black hole dwelling alien
gas giant being,extraterrestrial being,gas giant dwelling alien
two-dimensional being,extraterrestrial being,
powerful conquering alien race,extraterrestrial being,
xenophobic isolationist alien,extraterrestrial being,
zoo making alien race,extraterrestrial being,
multiple alien species evolved on the same planet,extraterrestrial being,
extinct interstellar alien civilization,extraterrestrial being,
assimilating alien civilization,extraterrestrial being,
culturally symbiotic alien races,extraterrestrial being,
alien overseers,extraterrestrial being,
covert alien observers,extraterrestrial being,
extra-dimensional being,extraterrestrial being,
galactic being,extraterrestrial being,
mysterious maker alien race,extraterrestrial being,
spacefaring aliens with primitive minds,extraterrestrial being,
subterranean being,locationally distinguished being,
mole men,subterranean being,
bedrock dwelling being,subterranean being,
ooze dwelling being,locationally distinguished being,ooze dwelling alien
thermophilic being,locationally distinguished being,thermophilic alien
spaceborne being,locationally distinguished being,
two-dimensional being,locationally distinguished being,
extra-dimensional being,locationally distinguished being,
dream walking being,locationally distinguished being,
giant space amoeba,spaceborne being,
living spaceship,spaceborne being,
living space cloud,spaceborne being,
space jellyfish,spaceborne being,
space protozoa,spaceborne being,
spacefaring plant,spaceborne being,
biologically distinguished being,science fictional being,
sexually distinguished being,biologically distinguished being,
hybrid being,biologically distinguished being,
human-alien hybrid,hybrid being,
human-insect hybrid,hybrid being,
cyclical mating cycle being,sexually distinguished being,
lethal mating practice being,sexually distinguished being,
gender neutral being,sexually distinguished being,
multi-gendered being,sexually distinguished being,
bilaterally colored being,biologically distinguished being,
childless reproducing being,biologically distinguished being,
reverse aging being,biologically distinguished being,
symbiotic being,biologically distinguished being,
being composed of autonomous parts,biologically distinguished being,
being that feeds on radiation,biologically distinguished being,
parasitic being,biologically distinguished being,
being that feeds on emotions,parasitic being,
neural parasite,parasitic being,
brain memory virus,neural parasite,
invisible parasite,parasitic being,
life force draining being,parasitic being,
parasitic bug,parasitic being,
animal and plant patterned being,biologically distinguished being,
avian being,animal and plant patterned being,
canine being,animal and plant patterned being,
chameleon-like being,animal and plant patterned being,
crustacean-like being,animal and plant patterned being,
felinoid being,animal and plant patterned being,
fish-like being,animal and plant patterned being,
humanoid being,animal and plant patterned being,
insectoid being,animal and plant patterned being,
plant-like being,animal and plant patterned being,
reptilian being,animal and plant patterned being,
simian being,animal and plant patterned being,
slug-like being,animal and plant patterned being,
starfish-like being,animal and plant patterned being,
inorganic being,biologically distinguished being,
crystalline being,inorganic being,
dark matter being,inorganic being,
electromagnetic being,inorganic being,
gaseous being,inorganic being,
silicon-based being,inorganic being,
artificial being,science fictional being,
archailect,artificial being,
cyborg,artificial being,
replicant,artificial being,
android,artificial being,
sex-droid,android,
robot,artificial being,
robot helper,robot,
mechanical man,robot,
virtual person,artificial being,
virtual lover,virtual person,
ancient artificial custodian,virtual person,
digital clone,virtual person,
shape distinguished being,science fictional being,
shapeshifter,shape distinguished being,
blobform,shape distinguished being,
brain-shaped being,shape distinguished being,
incorporeal being,shape distinguished being,
size distinguished being,science fictional being,
microscopic being,size distinguished being,
microscopic sentient being,microscopic being,
metal eating microscopic organism,microscopic being,
subatomic bacteria,microscopic being,
Lilliputian,size distinguished being,
large being,size distinguished being,
giant,large being,
giant woman,giant,
giant crab,giant,
giant mantis,giant,
giant space amoeba,large being,
living space cloud,large being,
dinosaur,science fictional being,
god-like being,science fictional being,
transcendental being,god-like being,
mentally distinguished being,science fictional being,
binary thinking being,mentally distinguished being,
collectively intelligent being,mentally distinguished being,
emergently intelligent being,mentally distinguished being,
emotionless emotion craving being,mentally distinguished being,
telepathic being,mentally distinguished being,
telepathically linked beings,mentally distinguished being,
science fictional society,science fictional theme,
science fictional utopia,science fictional society,
ruling elite utopia,science fictional utopia,Plato's Republic
council of wise-men utopia,ruling elite utopia,
machine controlled society,ruling elite utopia,
master race controlled society,ruling elite utopia,
mind controlled society,ruling elite utopia,
utopia based on exploitation of a group,science fictional utopia,
utopia on the back of android labor,utopia based on exploitation of a group,
utopia on the back of human clone labor,utopia based on exploitation of a group,
utopia on the back of slave labor,utopia based on exploitation of a group,
utopia based on the rejection of technology,science fictional utopia,
neo-luddist utopia,utopia based on the rejection of technology,
noble savage utopia,utopia based on the rejection of technology,
technologically enabled utopia,science fictional utopia,scientific utopia
genetic engineering utopia,technologically enabled utopia,
hive mind utopia,technologically enabled utopia,
post-scarcity economy utopia,technologically enabled utopia,
machine controlled society,technologically enabled utopia,
transhumanist utopia,technologically enabled utopia,
utopia on the back of android labor,technologically enabled utopia,
utopia on the back of human clone labor,technologically enabled utopia,
utopia based on a view of human nature,science fictional utopia,
free love utopia,utopia based on a view of human nature,
kumbayah utopia,utopia based on a view of human nature,
telepathic peaceful utopia,utopia based on a view of human nature,
science fictional dystopia,science fictional society,
kill all humans dystopia,science fictional dystopia,
ads everywhere dystopia,science fictional dystopia,
bureaucratic dystopia,science fictional dystopia,
consumerist dystopia,science fictional dystopia,
drugged up dystopia,science fictional dystopia,
lawless anarchy dystopia,science fictional dystopia,
overpopulated dystopia,science fictional dystopia,
totalitarian dystopia,science fictional dystopia,
alien civilization,science fictional society,
subterranean civilization,science fictional society,
thoughtcrime society,science fictional society,thoughtcrime
alternate historical society,science fictional society,
what if the Nazis had won,alternate historical society,
what if the Roman Empire never fell,alternate historical society,
multi-species civilization,science fictional society,what if society split into more than one distinct race
civilization of only children,science fictional society,what if society consisted of only children
robotic civilization,science fictional society,what if there was a huge robotic war
catastrophic risk to society,science fictional society,
anthropogenic risk,catastrophic risk to society,
technological risk,anthropogenic risk,danger from a new technology
hostile artificial intelligence,technological risk,
the AI singularity,hostile artificial intelligence,
rise of the machines,hostile artificial intelligence,
autonomous weapons system run amok,hostile artificial intelligence,autonomous weapons system killing everyone
destructive biotechnology,technological risk,
human-made pandemic,destructive biotechnology,
cloning-related replicative fading,destructive biotechnology,
destructive nanotechnology,technological risk,
reliance on a central computer,technological risk,
slaves to technology,technological risk,
governmental failure risk,anthropogenic risk,
global war,governmental failure risk,war of mutual annihilation
ecological destruction,governmental failure risk,
depletion of a vital natural resource,ecological destruction,
annihilation by WMDs,governmental failure risk,
nuclear holocaust,annihilation by WMDs,
human overpopulation,governmental failure risk,overpopulated planet
ozone layer depletion,governmental failure risk,
non-anthropogenic risk,catastrophic risk to society,
hostile extraterrestrial life,risk of extra-planetary origin,
accidental alien destruction of planetary civilization,hostile extraterrestrial life,
accidental alien destruction of planetary ecosystem,accidental alien destruction of planetary civilization,
alien brought pandemic,hostile extraterrestrial life,
attack from outer space,hostile extraterrestrial life,
attack from outer space by a genocidal enemy,attack from outer space,
attack from outer space by powerful aliens,attack from outer space,attack from outer space by a powerful conquering alien race
attack from outer space by a world eating machine,attack from outer space,
attack from outer space by a world eating space cloud,attack from outer space,
attack from outer space by a giant space amoeba,attack from outer space,
being wiped out by more powerful aliens,hostile extraterrestrial life,
invasive life form from outer space,hostile extraterrestrial life,
subversive life form from outer space,hostile extraterrestrial life,
annihilation by a planet busting device,hostile extraterrestrial life,
annihilation by a device that stops fusion in a star,hostile extraterrestrial life,
orchestrated asteroid bombardment,hostile extraterrestrial life,
risk of planetary origin,non-anthropogenic risk,
planet scorching atmospheric conflagration,risk of planetary origin,
atmospheric dissipation,risk of planetary origin,
spontaneous planetary break up,risk of planetary origin,
climatic change event,risk of planetary origin,
natural global warming,climatic change event,global warming
coming ice age,climatic change event,ice age
botanical plague,risk of planetary origin,
catastrophic flood,risk of planetary origin,
fungus proliferating over the entire world,risk of planetary origin,
rise of a new species,risk of planetary origin,
natural pandemic,risk of planetary origin,pandemic
mass infertility,risk of planetary origin,
mass radiation poisoning,risk of planetary origin,
monster apocalypse,risk of planetary origin,
volcanic cataclysm,risk of planetary origin,
worldwide locust plague,risk of planetary origin,
risk of extra-planetary origin,non-anthropogenic risk,
catastrophic solar event,risk of extra-planetary origin,
dying sun,catastrophic solar event,
sun going supernova,catastrophic solar event,
planet scorching solar flare,catastrophic solar event,
approaching astronomical object event,risk of extra-planetary origin,
asteroid impact event,approaching astronomical object event,
passing astronomical object,approaching astronomical object event,stray astronomical object
moon slowly spiraling into a planet,approaching astronomical object event,
planet being flung out of its orbit,approaching astronomical object event,
collision with a parallel universe,risk of extra-planetary origin,
rise in ambient galactic radiation level,risk of extra-planetary origin,
what if I experienced something truly astounding,science fictional theme,
what if I found myself in a strange place,what if I experienced something truly astounding,
what if I was trapped in a novel,what if I found myself in a strange place,
what if I was trapped in a void of nothingness,what if I found myself in a strange place,
what if I was stuck inside a game,what if I found myself in a strange place,
what if I was stuck on a planet populated by horny people of the opposite sex,what if I found myself in a strange place,
what if I was cast into a lawless dungeon and had to fight for survival,what if I found myself in a strange place,
what if I found myself in an alternate universe,what if I found myself in a strange place,
what if I found myself in a savage mirror universe,what if I found myself in an alternate universe,
what if I was flung into an alternate reality,what if I found myself in an alternate universe,
what if I found myself in a transcendental realm,what if I found myself in a strange place,
what if I went on a journey into the underworld,what if I found myself in a transcendental realm,
what if I could travel around inside a human body,what if I found myself in a strange place,
what if I found myself in a land inhabited by only women,what if I found myself in a strange place,
what if I were trapped in a nightmare,what if I found myself in a strange place,
what if I were stranded in outer space,what if I found myself in a strange place,
what if I were stranded without food and water,what if I found myself in a strange place,
what if I woke up in a strange place and didn't remember how I got there,what if I found myself in a strange place,
what if I had to spend eternity in limbo,what if I found myself in a strange place,
what if I had to spend eternity trapped in futile violence,what if I found myself in a strange place,
what if I were a specimen animal in a zoo,what if I found myself in a strange place,
what if I could life in a fantasy world,what if I found myself in a strange place,
what if I could never go home,what if I found myself in a strange place,
what if I found myself in a high gravity environment,what if I found myself in a strange place,
what if I could experience a what-if,what if I found myself in a strange place,
what if my personal identity came into question,what if I experienced something truly astounding,
what if I discovered that I was a facsimile of someone else,what if my personal identity came into question,
what if I found myself in the body of another person,what if my personal identity came into question,
what if two people were combined into one person,what if my personal identity came into question,
what if I suffered total amnesia and had to relearn everything,what if my personal identity came into question,
what if I found out I was a different person than I thought I was,what if my personal identity came into question,
what if I found out I was a simulation,what if my personal identity came into question,
what if I became a simulation,what if my personal identity came into question,
what if I met a noteworthy person,what if I experienced something truly astounding,
what if I met a Viking,what if I met a noteworthy person,
what if I met an historical figure,what if I met a noteworthy person,
what if I met my distance descendants,what if I met a noteworthy person,
what if I met my double,what if I met a noteworthy person,
what if I met the perfect mate,what if I met a noteworthy person,
what if I underwent a physical change,what if I experienced something truly astounding,
what if I underwent a physical metamorphosis,what if I underwent a physical change,
what if I underwent an apotheosis,what if I underwent a physical change,
what if I were gradually turning into stone,what if I underwent a physical change,
what if I changed in size,what if I underwent a physical change,
what if I grew in size,what if I changed in size,
what if I shrank in size,what if I changed in size,
what if I found myself in a strange time,what if I experienced something truly astounding,
what if I was tossed into the past,what if I found myself in a strange time,
what if I woke up in the future,what if I found myself in a strange time,
what if I could see into the past,what if I found myself in a strange time,
what if I could see into the future,what if I found myself in a strange time,
what if everybody and everything was frozen in time,what if I found myself in a strange time,
what if I lived backwards in time but kept my present memories,what if I found myself in a strange time,
what if I repeated a portion of my life over and over again,what if I found myself in a strange time,
what if I could move faster in time than everyone else,what if I found myself in a strange time,
what if I had an extraordinary ability,what if I experienced something truly astounding,
what if I could shapeshift,what if I had an extraordinary ability,
what if I could change into a gaseous state,what if I could shapeshift,
what if I had super intelligence,what if I had an extraordinary ability,
what if I could fly,what if I had an extraordinary ability,
what if I could read minds,what if I had an extraordinary ability,
what if I had magical powers,what if I had an extraordinary ability,
what if I had psychic powers,what if I had an extraordinary ability,
what if I had super speed,what if I had an extraordinary ability,
what if I had super strength,what if I had an extraordinary ability,
what if I had X-ray vision,what if I had an extraordinary ability,
what if I was unkillable,what if I had an extraordinary ability,
what if I were immune from disease,what if I had an extraordinary ability,
what if I could hear thoughts,what if I had an extraordinary ability,
what if my touch was deadly,what if I had an extraordinary ability,
what if I could swim in the ocean like a fish,what if I had an extraordinary ability,
what if I had the touch of death,what if I had an extraordinary ability,
what if I were invisible,what if I had an extraordinary ability,
what if I had an evil hand,what if I had an extraordinary ability,
what if something aging related happened to me,what if I experienced something truly astounding,
what if I aged backwards,what if something aging related happened to me,
what if I aged rapidly,what if something aging related happened to me,
what if I could be young again,what if something aging related happened to me,
what if I were immortal,what if something aging related happened to me,
what if I had only one day to live,what if something aging related happened to me,
what if I was brought back to life long after my death,what if something aging related happened to me,
what if I had a second chance at life,what if something aging related happened to me,
what if I had a second childhood,what if something aging related happened to me,
what if I were in a tight spot,what if I experienced something truly astounding,
what if a killer was after me,what if I were in a tight spot,
what if I became accessory to a friend's crime,what if I were in a tight spot,
what if I got a limb stuck in rock in the middle of nowhere,what if I were in a tight spot,
what if I had to mate with a stranger,what if I were in a tight spot,
what if I had to operate on myself,what if I were in a tight spot,
what if I had to rely on a madman,what if I were in a tight spot,
what if I had to defuse a ticking time bomb,what if I were in a tight spot,
what if I had to fight to the death,what if I were in a tight spot,
what if I was at the mercy of a mad doctor,what if I were in a tight spot,
what if I were hunted for sport,what if I were in a tight spot,
what if I killed someone by accident,what if I were in a tight spot,
what if I had only one day to live,what if I were in a tight spot,
what if I had to go on a suicide mission,what if I were in a tight spot,
what if I was yanked out of my normal routine and sent on an important mission,what if I were in a tight spot,
what if my relationship with somebody changed,what if I experienced something truly astounding,
what if I found out my lover was despicable,what if my relationship with somebody changed,
what if I could edit my lover,what if my relationship with somebody changed,
what if my lover suddenly couldn't remember me,what if my relationship with somebody changed,
what if my partner became possessed by a malevolent entity,what if my relationship with somebody changed,
what if my partner switched gender,what if my relationship with somebody changed,
what if someone I cared about returned from the dead,what if my relationship with somebody changed,
what if someone I knew returned from the dead,what if my relationship with somebody changed,
what if my enemy and my ally looked exactly alike and I had to choose between them,what if my relationship with somebody changed,
what if my relationship with the people around me changed,what if I experienced something truly astounding,
what if I were the last of my family line,what if my relationship with the people around me changed,
what if I were the last person on Earth,what if my relationship with the people around me changed,
what if people around me started behaving strangely one by one,what if my relationship with the people around me changed,
what if people around me started disappearing one by one,what if my relationship with the people around me changed,
what if people around me started falling into comas one by one,what if my relationship with the people around me changed,
what if people around me started falling mysteriously ill one by one,what if my relationship with the people around me changed,
what if people connected to me started dying one by one,what if my relationship with the people around me changed,
what if everyone vanished and I was all alone,what if my relationship with the people around me changed,
what if everyone turned into zombies,what if my relationship with the people around me changed,
what if our fantasies become reality,what if my relationship with the people around me changed,
what if we all lost our memories,what if my relationship with the people around me changed,
what if everyone lost control of their inhibitions,what if my relationship with the people around me changed,
what if I was accused of a crime that I didn't commit,what if my relationship with the people around me changed,
what if I told the truth and nobody would believe me,what if my relationship with the people around me changed,
what if I saw strange things no one else could see,what if my relationship with the people around me changed,
what if I couldn't trust the veracity of my senses,what if my relationship with the people around me changed,
what if I had true visions,what if my relationship with the people around me changed,
what if I had memories of past lives,what if my relationship with the people around me changed,
what if I had a near-death experience,what if my relationship with the people around me changed,
what if the world around me changed,what if I experienced something truly astounding,
what if the world was continually rearranging itself around me,what if the world around me changed,
what if our fantasies become reality,what if the world around me changed,
what if men could get pregnant,what if the world around me changed,
what if I lived an alternate live,what if I experienced something truly astounding,
what if I was really beautiful,what if I lived an alternate live,
what if I was super rich,what if I lived an alternate live,
what if I were a ghost,what if I lived an alternate live,
what if I had a life-changing stroke of good fortune,what if I lived an alternate live,
what if I were a sovereign ruler,what if I lived an alternate live,
what if I were in a coma-like state,what if I lived an alternate live,
what if I became extremely lucky,what if I lived an alternate live,
what if I could do anything I wanted without repercussions,what if I lived an alternate live,
what if I had a super love potion,what if I lived an alternate live,
